Bacteria,,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016
Streptococcus cricetus,,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus faceium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus faecalis,,14,15,10,4,7,4,7,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus ferus,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus gallinarum,,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus lactis,,5,5,6,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus mitior,,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus mitis,,6,8,7,4,4,3,5,4,10,15,13,0,1,1,3,6,14,4,1,4,3,1,1,1,1,0,1,8,6,4,2,0
Streptococcus mutans,,178,192,182,129,119,104,94,113,102,79,86,16,100,110,122,106,130,63,95,114,102,112,117,137,233,202,173,183,147,133,171,183
Streptococcus oralis,,0,0,0,0,0,3,2,5,2,2,0,0,0,0,0,0,0,1,2,1,1,0,1,6,17,3,2,10,8,5,5,4
Streptococcus pneumoniae,,14,15,12,18,25,29,33,28,26,26,18,11,39,57,88,110,121,105,137,130,103,113,137,171,220,237,193,209,150,163,157,163
Streptococcus pyogenes,,6,4,3,4,6,5,10,14,13,13,13,1,18,33,37,31,36,27,25,40,37,39,45,61,70,64,35,37,19,29,27,19
Streptococcus rattus,,0,0,0,1,2,2,2,2,2,1,1,1,2,3,4,1,2,2,2,2,2,1,1,1,1,1,0,0,1,1,0,0
Streptococcus salivarius,,3,4,1,3,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2
Streptococcus sanguis,,66,58,57,50,47,42,53,47,28,35,40,10,29,32,22,24,29,27,11,8,10,20,20,8,8,0,0,1,1,0,0,0
Streptococcus sobrinus,,1,0,1,2,5,5,8,8,8,9,8,5,7,8,8,3,8,3,1,2,1,23,13,0,1,1,1,0,0,1,1,0
Treponema pallidum,,66,88,84,77,75,60,60,70,64,61,55,13,59,68,85,87,80,88,67,62,64,62,54,44,58,65,49,51,49,35,39,41
Treponema denticola,,1,1,3,3,13,9,9,15,16,15,12,1,14,23,42,55,42,44,27,41,35,35,28,30,50,12,34,50,30,21,22,18
Vibrio cholerae,,36,34,31,22,25,37,46,51,51,44,47,8,96,95,106,150,118,145,192,189,181,171,210,191,285,307,214,217,202,203,197,174
Vibrio comma,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio parahaemolyticus,,8,8,7,6,0,1,1,1,1,1,1,0,1,1,2,2,1,5,1,2,16,18,4,13,18,14,16,17,9,7,12,18
Vibrio vulnificus,,0,10,8,8,5,0,0,0,7,10,3,0,4,10,10,14,14,14,10,4,0,8,20,16,16,20,27,16,15,15,18,8
Yersinia enterocolitica,,11,7,0,7,10,10,20,4,8,11,7,1,13,10,10,16,13,20,31,12,17,17,29,39,47,53,41,29,20,10,7,8
Yersinia pestis,,1,9,15,16,14,18,26,9,10,22,14,2,12,17,20,19,35,94,176,188,238,282,269,227,316,309,240,220,200,149,121,75
Yersinia pseudotuberculosis,,2,4,3,3,1,3,4,4,4,4,5,1,7,7,6,6,5,16,16,13,21,20,23,22,30,23,18,24,22,19,10,11
